"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7b","SBS7c","SBS7d","SBS8","SBS9","SBS10a","SBS10b","SBS10c","SBS10d","SBS11","SBS12","SBS13","SBS14","SBS15","SBS16","SBS17a","SBS17b","SBS18","SBS19","SBS20","SBS21","SBS22","SBS23","SBS24","SBS25","SBS26","SBS28","SBS29","SBS30","SBS31","SBS32","SBS33","SBS34","SBS35","SBS36","SBS37","SBS38","SBS39","SBS40","SBS41","SBS42","SBS44","SBS84","SBS85","SBS86","SBS87","SBS88","SBS89","SBS90","SBS91","SBS92","SBS93","SBS94"
"SBS1",1,0.188128033165568,-0.136930639376292,-0.273861278752583,-0.200831604418561,0.273861278752583,-0.118661113133642,0.109544511501033,-0.11410886614691,0.0348155311911396,0.591864030249373,0.342326598440729,0.474692883171144,0.757237803407286,0.251039505523201,0.139262124764558,0.147966007562343,0.457692864944047,0.322080164219885,-0.0693103280083672,-0.0594088525786005,-0.433333333333333,0.257438361173935,0.610257153258729,0.259416496714274,-0.0339031751810405,-0.273861278752583,-0.251039505523201,-0.16431676725155,-0.273861278752583,-0.401663208837122,NA,0.386157541760903,-0.405960492620436,0.669461927004578,0.175733755838702,0.730296743340221,0.905203810969629,-0.45,0.078334945180064,NA,NA,-0.306945738322769,0.410791918128875,-0.316847213752536,0.277241312033469,NA,-0.39605901719067,0,0.644087327036082,0.200831604418561,0.219089023002066,0.0792118034381339,0.356859194709181,0.0669461927004578,-0.273861278752583,-0.0169515875905203,NA,0.0594088525786005,NA
"SBS2",0.188128033165568,1,-0.244046765045988,0.650791373455968,0.509786575873842,0.325395686727984,-0.483395696706457,-0.357935255400783,-0.366070147568982,0.160297183898456,0.299910860197111,0.244046765045988,-0.206083934927723,-0.186151568398207,-0.366070147568982,-0.0930757841991034,0.398157521296165,0.563961646157533,0.281980823078766,-0.476470588235294,-0.0235294117647059,0.148522131446501,0.105882352941176,-0.040282974725538,-0.48720657037291,0.785518007147992,0.650791373455968,-0.366070147568982,0.61825180478317,0.650791373455968,-0.282009595164253,NA,-0.0235294117647059,0.235294117647059,0.298289736963006,-0.104401407937052,0.122023382522994,0.191322445298157,0.118817705157201,0.0465378920995517,NA,NA,-0.476470588235294,0.488093530091976,0.605882352941176,0.523529411764706,NA,-0.476470588235294,-0.244046765045988,-0.372303136796414,0.856875308383692,0.596558759001305,0.605882352941176,0.232689460497759,-0.52200703968526,0.650791373455968,-0.362546772529842,NA,0.264705882352941,NA
"SBS3",-0.136930639376292,-0.244046765045988,1,-0.125,-0.3,-0.125,-0.417814510898367,-0.3,0.75,0,-0.357548470967097,-0.1875,-0.3,0.143019388386839,0.75,0.429058165160517,-0.357548470967097,-0.139271503632789,-0.417814510898367,-0.244046765045988,-0.244046765045988,-0.410791918128875,0.325395686727984,-0.417814510898367,-0.275009549108463,-0.139271503632789,-0.125,-0.1875,-0.3,-0.125,-0.3,NA,-0.244046765045988,-0.244046765045988,0,0.412514323662695,-0.1875,-0.357548470967097,0.273861278752583,0.143019388386839,NA,NA,0.325395686727984,-0.125,-0.244046765045988,-0.244046765045988,NA,0.650791373455968,-0.125,0.143019388386839,0.15,-0.3,-0.244046765045988,-0.357548470967097,-0.137504774554232,-0.125,0,NA,-0.244046765045988,NA
"SBS4",-0.273861278752583,0.650791373455968,-0.125,1,0.6,-0.125,0,-0.3,-0.1875,-0.357548470967097,0.286038776773678,-0.1875,-0.3,-0.357548470967097,-0.1875,-0.357548470967097,0.429058165160517,0.417814510898367,0.278543007265578,-0.244046765045988,-0.244046765045988,0.547722557505166,-0.244046765045988,-0.417814510898367,-0.481266710939811,0.557086014531156,1,-0.1875,0.6,1,-0.3,NA,0.325395686727984,0.650791373455968,-0.137504774554232,-0.275009549108463,-0.1875,-0.357548470967097,0,0.286038776773678,NA,NA,-0.244046765045988,-0.125,0.650791373455968,0.650791373455968,NA,-0.244046765045988,-0.125,-0.357548470967097,0.45,0.45,0.650791373455968,-0.357548470967097,-0.481266710939811,1,-0.417814510898367,NA,-0.244046765045988,NA
"SBS5",-0.200831604418561,0.509786575873842,-0.3,0.6,1,0.45,0.0928476690885259,-0.42,-0.05,-0.181157891956663,-0.00953462589245592,-0.05,-0.22,-0.667423812471915,-0.45,-0.46719666873034,0.390919661590693,0.297112541083283,-0.297112541083283,-0.585712236110372,0.401321346964514,0.547722557505166,-0.195237412036791,-0.445668811624924,-0.165005729465078,0.427099277807219,0.6,-0.45,0.48,0.6,0.44,NA,-0.130158274691194,0.130158274691194,-0.12833778958395,-0.394180353722131,-0.45,-0.0476731294622796,0.273861278752583,-0.0286038776773678,NA,NA,-0.227776980709589,-0.3,0.61825180478317,0.509786575873842,NA,-0.585712236110372,0.3,-0.238365647311398,0.48,-0.12,0.130158274691194,-0.238365647311398,-0.660022917860312,0.6,-0.46423834544263,NA,0.260316549382387,NA
"SBS6",0.273861278752583,0.325395686727984,-0.125,-0.125,0.45,1,-0.417814510898367,0.15,-0.1875,0.143019388386839,0.143019388386839,-0.1875,0.45,-0.357548470967097,-0.1875,-0.357548470967097,0.572077553547355,0.278543007265578,-0.417814510898367,-0.244046765045988,0.650791373455968,0.136930639376292,-0.244046765045988,-0.139271503632789,0.412514323662695,0.139271503632789,-0.125,-0.1875,-0.3,-0.125,0.3,NA,-0.244046765045988,-0.244046765045988,0.275009549108463,-0.481266710939811,-0.1875,0.572077553547355,0.410791918128875,-0.357548470967097,NA,NA,-0.244046765045988,-0.125,0.488093530091976,0.325395686727984,NA,-0.244046765045988,-0.125,0.286038776773678,0.6,-0.3,-0.244046765045988,0.286038776773678,-0.275009549108463,-0.125,-0.417814510898367,NA,0.488093530091976,NA
"SBS7a",-0.118661113133642,-0.483395696706457,-0.417814510898367,0,0.0928476690885259,-0.417814510898367,1,0.0742781352708207,-0.16248342090492,-0.601982097027034,0.0885267789745639,-0.16248342090492,0.0742781352708207,0.0354107115898256,-0.0696357518163944,-0.22131694743641,-0.123937490564389,0,0.0344827586206897,0.191344129946306,-0.221556360990459,0.423789689763007,-0.362546772529842,0,0.212783296765061,-0.224137931034483,0,0.0232119172721315,0.129986736723936,0,0.352821142536399,NA,0.42297123461815,0.020141487362769,-0.076601986835422,-0.102135982447229,0.0696357518163944,-0.141642846359302,-0.220370638676763,0.41607586118045,NA,NA,0.322263797804304,-0.417814510898367,-0.342405285167073,0.0604244620883071,NA,-0.352476028848458,0.278543007265578,0.106232134769477,-0.724211818890502,-0.167125804359347,-0.120848924176614,-0.407223183282994,0.425566593530122,0,0.379310344827586,NA,-0.040282974725538,NA
"SBS7b",0.109544511501033,-0.357935255400783,-0.3,-0.3,-0.42,0.15,0.0742781352708207,1,-0.45,-0.0286038776773678,0.362315783913325,-0.45,0.86,0.104880884817015,0.05,-0.51486979819262,0.533939049977532,-0.0742781352708207,0.222834405812462,0.900261399947423,0.227776980709589,0.109544511501033,-0.585712236110372,0.334251608718693,0.751692767563133,-0.557086014531156,-0.3,0.65,-0.72,-0.3,-0.12,NA,0.401321346964514,0.260316549382387,-0.0550019098216927,-0.467516233484388,0.175,0.30510802855859,-0.200831604418561,-0.238365647311398,NA,NA,-0.195237412036791,-0.3,0.162697843363992,0.130158274691194,NA,0.303702640946119,-0.3,0.438592791052972,-0.36,0.04,-0.195237412036791,0.362315783913325,0.550019098216927,-0.3,0,NA,-0.292856118055186,NA
"SBS7c",-0.11410886614691,-0.366070147568982,0.75,-0.1875,-0.05,-0.1875,-0.16248342090492,-0.45,1,0.190692517849118,-0.536322706450646,0.21875,-0.45,0.119182823655699,0.5,0.357548470967097,-0.536322706450646,-0.394602593626235,-0.441026428170498,-0.366070147568982,0.122023382522994,-0.524900784275784,0.596558759001305,-0.16248342090492,-0.229174624257053,-0.394602593626235,-0.1875,-0.28125,-0.15,-0.1875,0.05,NA,-0.366070147568982,-0.366070147568982,-0.320844473959874,0.527101635791221,-0.28125,-0.297957059139248,-0.0456435464587638,-0.119182823655699,NA,NA,0.108465228909328,-0.1875,-0.366070147568982,-0.366070147568982,NA,0.379628301182648,0.5625,0.119182823655699,-0.075,-0.45,-0.366070147568982,-0.297957059139248,-0.4354317860884,-0.1875,-0.0928476690885259,NA,-0.366070147568982,NA
"SBS7d",0.0348155311911396,0.160297183898456,0,-0.357548470967097,-0.181157891956663,0.143019388386839,-0.601982097027034,-0.0286038776773678,0.190692517849118,1,-0.504545454545455,0.667423812471915,-0.20976176963403,-0.00909090909090909,-0.238365647311398,0.2,-0.259090909090909,-0.336401760103343,-0.0531160673847383,-0.0723922765993027,0.517087689995019,-0.678902858227222,0.641188735593824,0.522307995949927,-0.205398864795504,-0.168200880051671,-0.357548470967097,-0.0119182823655699,0.0190692517849118,-0.357548470967097,0.152554014279295,NA,-0.698068381493276,-0.299910860197111,-0.14858641283079,0.43264867265436,0.0834279765589893,0.127272727272727,0.0174077655955698,-0.568181818181818,NA,NA,-0.517087689995019,0.572077553547355,0.025854384499751,-0.444695413395716,NA,0.0982466610990536,0.286038776773678,-0.372727272727273,0.181157891956663,0.200227143741574,-0.227518583597808,0.786363636363636,-0.249100750922207,-0.357548470967097,0.0619687452821947,NA,0.0982466610990536,NA
